export_date,res_1,res_2,res_3,res_4
3/01/2001,-.2882645171998436,-.2397546520147554,-.4419824709943292,-.3822881679213772
4/01/2001,0,0,0,0
5/01/2001,-.1436201504849665,-.1200616933350891,-.3915665051791812,-.4029484437629289
6/01/2001,-.1192171739814363,-.1104852087242638,.257641847179241,.2297422844487436
7/01/2001,0,0,0,0
8/01/2001,-.118096707542321,-.1192120679370191,-.1133392651578853,-.0578290734413445
9/01/2001,0,0,0,0
10/01/2001,.0347276479588681,.046787419349495,-.4738490317755018,-.4323913144466682
11/01/2001,-.0230069573465978,-.0129960748075964,.0501150784494362,.0604364851784476
12/01/2001,.1724008012154387,.1468944264184347,.1565985056122781,.1286894898937467
1/01/2002,.2012622412359396,.1694325022363464,.0912087277724225,.1014042352819662
2/01/2002,0,0,0,0
